,USD Value,CAD Value,PNL,Post-trading PNL,Post-fee PNL,ETF PNL,EQ PNL,FI PNL,EM PNL,RE PNL,Option PNL,Delta PNL,Vega PNL,Theta PNL,Rho PNL,Unexplained PNL,Return,Post-trading Return,Post-fee Return,ETF Return,EQ Return,FI Return,EM Return,RE Return,Option Return,Delta Return,Vega Return,Theta Return,Rho Return,Unexplained Return,Injection,FX,ETF Fees,ETF Expenses,Option Fees,Option Spread,Total Trading Fees,Advisor Fees,Total Fees,Percentage Trading Fees,Percentage Advisor Fees,Percentage Fees
2014-03-31,181003.66532422285,200000.00000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.10495,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-30,183452.55196800863,201093.34936525233,2597.0748895021097,2504.7181343874254,2448.8866437857796,2597.0748895021097,271.175716002479,1290.988548784895,456.7347459388657,578.17587877591,0.0,0.0,0.0,0.0,0.0,0.0,0.014348189495776778,0.01383794151295703,0.013529486485255537,0.014348189495776778,0.0014981780369846957,0.007132388984899348,0.0025233452876257476,0.003194277186267208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09616,59.40000000000001,32.956755114658364,0,0,92.35675511465837,55.831490601653336,148.1882457163117,0.0005102479828197088,0.0003084550277014842,0.000818703010521193
2014-05-31,186114.93290074114,201852.8116268278,2842.0332738965226,2719.637511511595,2662.3809327325143,2842.0332738965226,594.6908657368513,1961.5992905726744,-137.01953545021024,422.762653037189,0.0,0.0,0.0,0.0,0.0,0.0,0.015491925532832764,0.014824746139186162,0.01451264048480927,0.015491925532832764,0.003241660360443263,0.01069267922157195,-0.0007468935917234032,0.0023044795425408555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08456,89.10000000000002,33.29576238493499,0,0,122.39576238493501,57.256578779076364,179.65234116401137,0.0006671793936465872,0.0003121056543768388,0.000979285048023426
2014-06-30,187672.3140783683,200255.7427373229,1729.2919459683471,1616.0614096833742,1557.3811776271614,1729.2919459683471,530.8457910816396,-45.78514581195486,1107.5858884160916,136.64541228256712,0.0,0.0,0.0,0.0,0.0,0.0,0.009291527117228221,0.008683136728987018,0.008367846434212511,0.009291527117228221,0.0028522471722607578,-0.00024600468698754554,0.005951085553176916,0.0007341990787780735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06705,79.20000000000002,34.0305362849402,0,0,113.23053628494021,58.68023205620152,171.91076834114173,0.0006083903882410572,0.00031529029477444923,0.0009236806830155064
2014-07-31,187126.5836511878,204083.99466165848,-375.65834749501664,-488.4857236385287,-545.7304271805042,-375.65834749501664,-592.6221258773803,-60.60292582697002,241.47106714889378,36.09563706043991,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020016716335588478,-0.002602865137766419,-0.0029078899029966188,-0.0020016716335588478,-0.003157749339787609,-0.0003229188392788902,0.001286663237114773,0.00019233330839287823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0906200000000001,79.20000000000002,33.627376143491865,0,0,112.82737614349188,57.24470354198323,170.0720796854751,0.0006011935042074312,0.00030502476523030966,0.0009062182694377409
2014-08-31,209904.0326057047,228344.10187011585,4565.743704492401,4456.932098632387,4392.561332142504,4565.743704492401,725.7025654953868,2186.2634512613004,1137.0677257801217,516.7099619555484,0.0,0.0,0.0,0.0,0.0,0.0,0.024399225462284655,0.023817738835762103,0.023473742994904567,0.024399225462284655,0.0038781372017571186,0.011683339740421872,0.006076462807121334,0.0027612857129840967,0.0,0.0,0.0,0.0,0.0,0.0,18384.88762237441,1.08785,74.25000000000001,34.561605859962114,0,0,108.81160585996213,64.37076648988206,173.18237234984417,0.0005814866265222464,0.0003439958408575021,0.0009254824673797484
2014-09-30,204566.78307510083,229073.8836874979,-5243.500591581629,-5276.327779096435,-5337.249530603876,-5243.500591581629,-544.2420797258346,-1720.8539497082384,-1961.5436569241901,-1016.860905223386,0.0,0.0,0.0,0.0,0.0,0.0,-0.024980466199195465,-0.02513685760867579,-0.025427093821630664,-0.024980466199195465,-0.0025928138348259794,-0.00819828913406721,-0.00934495460889435,-0.00484440862140802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1198,0.0,32.827187514780114,0,0,32.827187514780114,60.92175150744868,93.7489390222288,0.0001563914094801814,0.00029023621295493383,0.00044662762243511523
2014-10-31,208431.87370361458,234819.34891449218,4018.7053443947225,3926.8059632730437,3865.090628513746,4018.7053443947225,461.77698058696114,1761.661265200819,-58.742306566204206,1854.009405173154,0.0,0.0,0.0,0.0,0.0,0.0,0.019644955471188937,0.019195716451342992,0.018894028494815807,0.019644955471188937,0.0022573409702465377,0.008611668222568057,-0.0002871546674546798,0.009063100945829057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1266,54.45000000000001,37.449381121700945,0,0,91.89938112170096,61.71533475930397,153.61471588100494,0.0004492390198459675,0.0003016879565273652,0.0007509269763733328
2014-11-30,210210.24979851974,239973.91906749213,1966.562538080063,1839.810420784488,1778.3760949051648,1966.562538080063,503.8033775655931,1399.727020689228,-403.39900852243954,466.4311483476922,0.0,0.0,0.0,0.0,0.0,0.0,0.009435037468772509,0.008826914943923958,0.008532169592420313,0.009435037468772509,0.002417112932938415,0.006715513303304121,-0.0019353998088414434,0.002237811041371469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1415899999999999,89.10000000000002,37.65211729560673,0,0,126.75211729560675,61.43432587931296,188.1864431749197,0.0006081225248487926,0.0002947453515035382,0.0009028678763523308
2014-12-31,208916.92257749385,242778.17738885406,-1122.0355116656283,-1233.3519427068823,-1293.3272210258874,-1122.0355116656283,-501.3954656369424,502.73801572070806,-1411.8088598810136,288.4307981316233,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053376822145497944,-0.005867230279631985,-0.006152541192760541,-0.0053376822145497944,-0.0023852094087586833,0.0023915961100972358,-0.006716175168595206,0.0013721062527068761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16208,74.25000000000001,37.06643104120398,0,0,111.316431041204,59.975278319006755,171.29170936021075,0.0005295480650819714,0.0002853109131285999,0.0008148589782105713
