,SPY US Equity,EFA US Equity,XLF US Equity,XLK US Equity,XLV US Equity,XLP US Equity,XLE US Equity,EWJ US Equity,XLU US Equity,XLI US Equity,EZU US Equity,XLB US Equity,IXN US Equity,IYZ US Equity,IEV US Equity,TIP US Equity,AGG US Equity,IEF US Equity,TLT US Equity,SHY US Equity,LQD US Equity,IYR US Equity,RWR US Equity,ICF US Equity,EWZ US Equity,ISMUF US Equity,ILF US Equity,IV1M80,IV1M90,IV1M95,IV1M975,IV1M100,IV1M1025,IV1M105,IV1M110,IV1M120,IV2M80,IV2M90,IV2M95,IV2M975,IV2M100,IV2M1025,IV2M105,IV2M110,IV2M120
2006-06-30,0.0022504694126712628,-0.0006118675705752974,-0.004598665204269658,-0.00489509156252077,0.00034637143846771856,0.018380962344779702,0.025401669352318468,-0.025854435983708183,0.022959466476845103,-0.0012791731242591806,0.002846871741167823,0.005184797602625579,-0.010440235000754194,0.03832027146517136,0.007167942825812235,0.004273705270812833,-0.0016070992185560626,0.0022938596890267338,0.011768264623444493,0.002359343010093218,-0.0008689908438962446,0.04604739541331315,0.05708324403684184,0.053370605384235104,0.05872807920008105,-0.0652188091045458,0.04144108014170178,-0.1478806907378336,-0.14925986842105254,-0.15899581589958167,-0.165554881746513,-0.16063675832127355,-0.15271786022433131,-0.055992141453831024,0.030858244937319142,-0.015479876160990669,-0.12592332043615895,-0.113339552238806,-0.1059751972942502,-0.10880503144654086,-0.11000709723207958,-0.1099518459069022,-0.10254083484573497,-0.04989384288747356,0.06365503080082124
2006-07-31,0.004873334630885351,0.00810555410135727,0.022879900328038882,-0.026071129206083118,0.05456346661878997,0.015710074836221773,0.03347935717727335,-0.005089983639338325,0.04800255526910213,-0.056786446789270924,0.011923357055731556,-0.03738110448608745,-0.038882832473107865,0.021053282820011617,0.019702921808364197,0.015124427756607828,0.0138799228322255,0.01677708803035438,0.021513447494974747,0.0066444051102134685,0.014594810833553185,0.03649111845378839,0.03645682832934072,0.04283084602761389,0.008947395611667908,0.0,0.02391801981045294,0.08732498157700808,0.049782503624939516,0.04415422885572151,0.0566860465116279,0.0715517241379311,0.07128309572301418,0.03433922996878258,-0.029934518241347075,-0.089622641509434,0.027766599597585317,0.03629668595476043,0.03972257250945765,0.05081157374735357,0.06060606060606076,0.055906221821460766,0.049544994944388236,0.1173184357541901,0.06370656370656369
2006-08-31,0.021822530130212625,0.025485415529776127,0.011789555207434743,0.07020046033088745,0.02853485989462845,0.038663824291416134,-0.050809622889865236,0.010414763383884472,0.02748176771524946,0.011289815274064585,0.03882817394848481,0.03009466223004686,0.0744053175621282,0.023673742889323,0.030059302347152705,0.01661585852742742,0.015896768676768147,0.017638518614406573,0.030682417313256938,0.007518814538241658,0.022247078575894585,0.029789561317687733,0.03199979315081891,0.035578454988573815,-0.007600140445328751,0.12328193678922772,0.005286141116984665,-0.1206370721789225,-0.09162062615101284,-0.13400833829660508,-0.15405777166437407,-0.17618664521319385,-0.16349809885931546,-0.10865191146881292,-0.046287367405978615,0.023316062176165664,-0.10101801096319496,-0.09898477157360408,-0.12431776834445117,-0.1356615177971794,-0.15112781954887233,-0.15371477369769435,-0.1368015414258189,-0.124,-0.11252268602540838
2006-09-30,0.0269932822346981,0.0022187031958766927,0.040231164800601286,0.04031138847274418,0.015349509483709056,-0.0004943801708606754,-0.03660557926580565,-0.012477396021699729,-0.014537355096549187,0.03814764418260408,0.017500986073923253,-0.0001342209814237938,0.043708168748808784,0.03958482761502191,0.00667168276888841,0.001108353318601818,0.010118784149536042,0.011334414576829266,0.018921958877390344,0.004760890058297829,0.00873475991047945,0.023805758418346867,0.0201905878200701,0.02177302905059486,-0.017871928492630196,0.0662732919254656,0.010301921824555471,-0.09441233140655103,-0.040040547389761705,-0.004126547455295615,-0.004878048780487809,-0.0146484375,-0.045454545454545525,-0.04401805869074482,0.08796764408493417,0.16793248945147687,0.006968641114982521,0.010140845070422566,0.010387811634348987,0.0062160062160061536,0.008857395925597977,-0.0010090817356205317,-0.024553571428571508,0.021689497716894882,0.036809815950920484
2006-10-31,0.03151732394566942,0.037490294144514325,0.023396448556243454,0.04045446112254725,0.0033128584320689662,0.017731546189328817,0.042655266467054975,0.01995971433803345,0.05295761778064434,0.02819603561665152,0.03407997801291751,0.06005256202587539,0.024293831837272517,0.036848363057857984,0.0389259290181252,-0.0007436052563215557,0.006855772857065735,0.006100304798378532,0.00867799223220378,0.0037989638141782134,0.01047207053678445,0.06480904036602286,0.060254960562156075,0.06590393693123753,0.09124090330295463,0.02330051843653513,0.08032010094014219,-0.024680851063829667,-0.10137275607180574,-0.08563535911602216,-0.07189542483660137,-0.028741328047571787,0.04761904761904767,0.07674144037780395,0.04739776951672869,-0.01661849710982666,-0.10294117647058833,-0.1187953151143335,-0.11034955448937622,-0.10270270270270276,-0.09130816505706764,-0.06666666666666665,-0.029748283752860424,-0.0201117318435754,-0.0335305719921104
2006-11-30,0.01988480725560926,0.030730222844674637,0.007056201221026681,0.027520209224916714,-0.0012012255982915,-0.008516168938995095,0.0857720451659163,0.0,0.026544493931775603,0.02450347267944042,0.046200228095403466,0.04352842517602151,0.03610604249250193,-0.006273075842197495,0.03587555487524874,0.010702623573514371,0.010610945380118642,0.013107368988279687,0.02306567083165545,0.004832925900877472,0.0141289084191083,0.04625704226876892,0.04902373490384382,0.05896839100663542,0.05669352712600718,0.14800478169294706,0.061783524393494986,0.10951134380453742,0.1198589894242068,0.05211480362537757,0.008802816901408494,-0.04081632653061229,-0.08522727272727271,-0.156798245614035,-0.25110913930789713,-0.2116091109478324,0.08968177434908409,0.05632911392405071,0.035439137134052334,0.0223752151462997,0.006763285024154575,-0.006493506493506551,-0.03537735849056611,-0.10376282782212076,-0.09285714285714286
2006-12-31,0.013368828195384095,0.031989653115077184,0.03761387202196476,-0.005392160913650912,0.010446382402667929,0.025069813731024126,-0.0281526298703364,0.03626570915619376,0.008553065055507902,0.00488685307992065,0.032555529434960866,0.0053610627201190475,-0.001545193537177525,0.045206169649097294,0.03002271929662537,-0.02304042453835864,-0.006006037806446041,-0.012751625733880556,-0.026945210320314383,0.0006456331204074406,-0.008949140798850341,-0.01759350851996422,-0.022987634006530037,-0.022509297318457636,0.07801316888498389,0.04631328407794899,0.06252858308598674,-0.012976799056232724,-0.012067156348373631,-0.028715003589375513,-0.02006980802792324,-0.03936170212765966,-0.07577639751552799,-0.04681404421326407,-0.0082938388625593,-0.009319664492078215,-0.014159292035398232,0.031156381066506755,0.034226190476190466,0.03703703703703698,0.03262955854126681,0.01416122004357301,-0.0024449877750610804,-0.03562340966921118,0.08886389201349831
2007-01-31,0.015040046630828918,0.013930815413785824,0.00925494415443473,0.020206636118531133,0.030457407354167243,0.02029061110929975,-0.009210666361008979,0.007103257103257209,-0.0035401284405931492,0.020851135627629525,0.0145123384253818,0.041366916123494635,0.0030867221950026114,0.03710246250878568,0.011432024732624946,0.0023280757989674328,-0.0007022453206579903,-0.004003017078821336,-0.009951213366966584,0.0016261740942702385,0.000937358989424375,0.09658080138356273,0.08901525200893777,0.10159504180346812,0.00853904454471177,0.024027297284488824,0.02624694067009869,-0.0776892430278886,-0.06638343069569841,-0.006651884700665135,0.0017809439002671734,0.003322259136212757,-0.012096774193548487,0.012278308321964415,0.12186379928315437,0.2060206961429916,-0.07181328545780974,-0.061592097617664265,-0.06330935251798564,-0.06980519480519476,-0.08085501858736055,-0.09237379162191206,-0.10171568627450978,-0.05804749340369397,-0.010330578512396604
2007-02-28,-0.019617308064637132,-0.0008087260778443238,-0.030472914342382532,-0.0286549636162996,-0.024052518804544287,-0.013130237182218507,-0.02048489455939706,0.03130913469809049,0.05083387143461526,-0.008954372420852952,-0.009059911970811352,0.03310391724535844,-0.031622810194082314,-0.004878970348335177,-0.01290382061597206,0.019792484779249442,0.01635666793414336,0.020554236288791383,0.033897445787348435,0.007272839211993176,0.01982345481620218,-0.035776512059012784,-0.027908684797251282,-0.02932391636838272,-0.0302651769875304,-0.03905960755275828,-0.04363760964912266,0.4008639308855293,0.3640500568828216,0.3980654761904763,0.4444444444444444,0.5419426048565121,0.6557823129251701,0.5067385444743935,0.14057507987220452,0.06708268330733236,0.24661508704061896,0.2371517027863779,0.295698924731183,0.3280977312390925,0.37512639029322536,0.4343195266272191,0.470668485675307,0.3375350140056024,0.10647181628392488
2007-03-31,0.01160193643251195,0.028039805186929945,-0.004711568274587964,0.01171292026494508,0.002853034422231948,0.018349151981348788,0.06291368939655961,-0.012844036697247764,0.038114543750853436,0.005820881470821604,0.04225277514985271,0.017325547765555168,0.008649568130350671,0.02189576458888931,0.033776926793607664,0.0032534520388098893,-0.002050686752790853,-0.0013897516680200226,-0.01700407193919484,0.004506054480134082,-0.006568563359573787,-0.025264921574447933,-0.02129275025478894,-0.03113125830109132,0.07420416898162441,0.06501637449431708,0.06943341712503681,-0.08572309589885907,-0.07339449541284415,-0.061734965407131415,-0.06892307692307686,-0.08876163206871868,-0.13147082990961378,-0.15026833631484793,-0.025210084033613574,-0.10307017543859652,0.02676493405740876,0.017517517517517508,0.0,-0.012483574244415374,-0.026470588235294024,-0.047854785478547816,-0.07513914656771792,-0.0921465968586388,-0.10000000000000007
