Dates,GDP Change,OIL Change,CPI Change,FEDFUNDS Change,CREDIT Change,T10Y Change,T10Y3MM Change,UNRATE Change,EXCH Change,SPY Change,ISMUF Change,ILF Change,IVLEFT Change,IVMID Change,IVRIGHT Change
2006-06-30,0.0,0.04876673713883006,0.005450941526263575,0.25,0.22999999999999998,0.03000000000000025,-0.18,0.10000000000000053,0.01540000000000008,0.002250469412671263,-0.0652188091045458,0.04144108014170178,-0.14794898136267035,-0.14511483187884539,0.01836518604003845
2006-07-31,0.00851865229909654,-0.018411503830130238,0.004435682602267121,0.009999999999999787,0.10000000000000009,-0.16000000000000014,-0.22,0.0,0.014350000000000085,0.004873334630885351,0.0,0.02391801981045294,0.057190470773064515,0.06378741062426736,-0.02101653536165844
2006-08-31,0.0,-0.12650602409638567,-0.004906771344455385,0.0,0.040000000000000036,-0.25,0.0,-0.20000000000000018,-0.027670000000000083,0.021822530130212625,0.12328193678922772,0.005286141116984666,-0.11825998861742312,-0.17821031491738112,-0.0438686663132729
2006-09-29,0.0,-0.07695924764890272,-0.004437869822485285,0.0,-0.07000000000000028,-0.10000000000000053,-0.11000000000000001,-0.09999999999999964,0.01432000000000011,0.0269932822346981,0.0662732919254656,0.010301921824555471,-0.04795224094365459,-0.0023250417356077235,0.10313890963440081
2006-10-31,0.0023549310703911974,0.0032263542197317197,0.0004952947003467045,0.0,-0.1299999999999999,-0.02999999999999936,-0.14999999999999997,0.09999999999999964,0.004249999999999865,0.03151732394566942,0.023300518436535134,0.08032010094014219,-0.06559728248581347,-0.06391798124797199,-0.024056868096548847
2006-11-30,0.0,0.04874746106973604,0.00544554455445545,-0.009999999999999787,-0.08999999999999986,-0.15000000000000036,0.06,-0.09999999999999964,0.01805000000000012,0.01988480725560926,0.14800478169294706,0.06178352439349499,0.09539346455493532,-0.016512759490849942,-0.17661382736560227
2006-12-29,0.0,-0.1202388637830859,0.001659281142294633,0.009999999999999787,-0.38000000000000034,0.25,0.06,0.1999999999999993,0.025449999999999973,0.013368828195384097,0.04631328407794899,0.06252858308598674,-0.01362561694609355,-0.0015147692873676028,0.034563921455076335
2007-01-31,0.005728724003003061,0.0875068794716567,0.003878350545869269,0.009999999999999787,-0.09999999999999964,0.1200000000000001,-0.09000000000000002,-0.09999999999999964,0.011149999999999993,0.015040046630828918,0.024027297284488824,0.026246940670098695,-0.07788168429992166,-0.043372828086038845,0.09794758326870066
2007-02-28,0.0,0.019568151147098423,0.005200121434097538,0.0,0.09999999999999964,-0.27000000000000046,-0.08000000000000002,-0.09999999999999964,-0.006950000000000012,-0.01961730806463713,-0.03905960755275828,-0.043637609649122666,0.2837386468529264,0.3749242935072698,0.08059200733030349
2007-03-30,0.0,0.05857048312375901,0.003000662483924943,-0.009999999999999787,-0.020000000000000018,0.09000000000000075,0.2,0.09999999999999964,-0.01595000000000013,0.01160193643251195,0.06501637449431708,0.06943341712503681,-0.03656490604938396,-0.05978619936104837,-0.10728438597775992
2007-04-30,0.005432713272967016,-0.008127539856204957,0.004132994016629032,0.0,-0.05999999999999961,-0.020000000000000462,0.2,-0.09999999999999964,-0.044300000000000006,0.04429580826951596,0.019851677670254197,0.05735650822154614,0.011867998655081044,-0.03367585250516346,-0.09114646213743269
2007-05-31,0.0,0.06350456980775276,0.0023167517109623503,0.0,-0.28000000000000025,0.27000000000000046,0.48,0.1999999999999993,-0.04079999999999995,0.033920053309662634,0.07036757859264853,0.11644212367397122,-0.04373166460639833,-0.09475278838168416,0.04613183016870559
2007-06-29,0.0,0.09823677581863999,0.0017805958481715844,0.009999999999999787,0.43000000000000016,0.1299999999999999,-0.32,0.10000000000000053,-0.003549999999999942,-0.014647205118680673,0.13285004142502066,0.012585084982812855,-0.017443381601128054,0.26162304951492105,0.1922639731552923
2007-07-31,0.006078419132304447,-0.023745277927684882,0.00030828070885302594,-0.2400000000000002,1.3000000000000003,-0.25,0.31,-0.10000000000000053,0.0012000000000000899,-0.03131017015691295,0.12345046988700759,0.007036111079969043,0.2583820349306785,0.3534679195004524,0.17091257127434886
2007-08-31,0.0,0.10447761194029859,0.0042375533907650365,-0.07999999999999918,0.35999999999999943,-0.2400000000000002,0.18000000000000005,0.10000000000000053,-0.010900000000000132,0.012832614182045843,0.043973570289359776,-0.011923237064234038,0.010069129951865962,-0.012863445594329006,-0.05943703508200176
2007-09-28,0.0,0.07357357357357341,0.0030832378312801723,-0.1800000000000006,-0.3899999999999997,0.04999999999999982,0.0,0.0,-0.06340000000000001,0.03869901487170946,0.03158321381804585,0.1383988931153215,-0.1232185628565517,-0.23696434525360524,-0.0738084935165616
2007-10-31,-0.005746998455205543,0.1045454545454545,0.007858884267890387,-0.2699999999999996,0.20000000000000018,-0.10999999999999943,0.27,0.0,-0.049149999999999916,0.013566779274037488,0.40816634932148577,0.10509417342161775,-0.017144676620433247,0.02461108611831038,0.01212136053234482
2007-11-30,0.0,-0.03249973620343993,0.002898014551732553,-0.25,1.3899999999999997,-0.5100000000000002,0.22999999999999998,0.2999999999999998,0.05554999999999999,-0.038732564575422734,-0.13152472527472525,-0.05519482264180686,0.07271890319501106,0.26420980891412915,0.1370080228587826
2007-12-31,0.0,0.01396008288799222,0.003447705076970342,-0.30000000000000027,0.16999999999999993,0.06999999999999984,-0.10999999999999999,0.0,-0.0002500000000000835,-0.011332214024714848,-0.11825326215895615,0.0005422181271483861,-0.07552256628328433,-0.10402089686964884,-0.047051689324878916
