Ticker,Name,Inception Date,Primary Exchange,Fund Geographical Focus,Tot Asset (M),Fund Industry Focus
IYR US Equity,ISHARES US REAL ESTATE ETF,6/19/00,NYSE Arca,United States,4567.405,Real Estate
IYK US Equity,ISHARES US CONSUMER GOODS ET,6/16/00,NYSE Arca,United States,455.435,Consumer Staples
IYH US Equity,ISHARES U.S. HEALTHCARE ETF,6/16/00,NYSE Arca,United States,2104.769,Health Care
IYE US Equity,ISHARES U.S. ENERGY ETF,6/16/00,NYSE Arca,United States,688.031,Energy
IYY US Equity,ISHARES DOW JONES U.S. ETF,6/16/00,NYSE Arca,United States,1206.381,N.A.
IYF US Equity,ISHARES US FINANCIALS ETF,5/31/00,NYSE Arca,United States,1682.597,Financial
IWV US Equity,ISHARES RUSSELL 3000 ETF,5/26/00,NYSE Arca,United States,9306.658,N.A.
IVW US Equity,ISHARES S&P 500 GROWTH ETF,5/26/00,NYSE Arca,United States,23108.465,N.A.
IWD US Equity,ISHARES RUSSELL 1000 VALUE E,5/26/00,NYSE Arca,United States,38029.004,N.A.
IJR US Equity,ISHARES CORE S&P SMALL-CAP E,5/26/00,NYSE Arca,United States,42839.328,N.A.
IYZ US Equity,ISHARES US TELECOMMUNICATION,5/26/00,Cboe BZX Exchange (Cboe BZX),United States,404.864,Communications
IWF US Equity,ISHARES RUSSELL 1000 GROWTH,5/26/00,NYSE Arca,United States,44024.543,N.A.
IWM US Equity,ISHARES RUSSELL 2000 ETF,5/26/00,NYSE Arca,United States,41816.793,N.A.
IJH US Equity,ISHARES CORE S&P MIDCAP ETF,5/26/00,NYSE Arca,United States,48615.906,N.A.
IVE US Equity,ISHARES S&P 500 VALUE ETF,5/26/00,NYSE Arca,United States,15133.99,N.A.
IYW US Equity,ISHARES USTECHNOLOGY ETF,5/19/00,NYSE Arca,United States,3987.083,Technology
IWB US Equity,ISHARES RUSSELL 1000 ETF,5/19/00,NYSE Arca,United States,19971.793,N.A.
IVV US Equity,ISHARES CORE S&P 500 ETF,5/19/00,NYSE Arca,United States,178147.812,N.A.
EWY US Equity,ISHARES MSCI SOUTH KOREA ETF,5/12/00,NYSE Arca,South Korea,4274.094,N.A.
QQQ US Equity,INVESCO QQQ TRUST SERIES 1,3/10/99,NASDAQ GM,United States,71642.82,N.A.
XLF US Equity,FINANCIAL SELECT SECTOR SPDR,12/22/98,NYSE Arca,United States,23771.76,Financial
XLV US Equity,HEALTH CARE SELECT SECTOR,12/22/98,NYSE Arca,United States,18005.711,Health Care
XLB US Equity,MATERIALS SELECT SECTOR SPDR,12/22/98,NYSE Arca,United States,4194.29,Materials
XLY US Equity,CONSUMER DISCRETIONARY SELT,12/22/98,NYSE Arca,United States,14126.89,Consumer Discretionary
XLE US Equity,ENERGY SELECT SECTOR SPDR,12/22/98,NYSE Arca,United States,11361.29,Energy
XLU US Equity,UTILITIES SELECT SECTOR SPDR,12/22/98,NYSE Arca,United States,9926.012,Utilities
XLI US Equity,INDUSTRIAL SELECT SECT SPDR,12/22/98,NYSE Arca,United States,9920.655,Industrials
XLK US Equity,TECHNOLOGY SELECT SECT SPDR,12/22/98,NYSE Arca,United States,20954.309,Technology
XLP US Equity,CONSUMER STAPLES SPDR,12/22/98,NYSE Arca,United States,11757.18,Consumer Staples
DIA US Equity,SPDR DJIA TRUST,1/20/98,NYSE Arca,United States,20902.523,N.A.
SMRZF US Equity,SMARTSHARES NZ MID CAP ETF,6/16/97,OTC US,New Zealand,144.168,N.A.
EWS US Equity,ISHARES MSCI SINGAPORE ETF,3/18/96,NYSE Arca,Singapore,575.755,N.A.
EWA US Equity,ISHARES MSCI AUSTRALIA ETF,3/18/96,NYSE Arca,Australia,1376.827,N.A.
EWU US Equity,ISHARES MSCI UNITED KINGDOM,3/18/96,NYSE Arca,United Kingdom,2148.688,N.A.
EWL US Equity,ISHARES MSCI SWITZERLAND ETF,3/18/96,NYSE Arca,Switzerland,1043.803,N.A.
EWD US Equity,ISHARES MSCI SWEDEN ETF,3/18/96,NYSE Arca,Sweden,226.695,N.A.
EWQ US Equity,ISHARES MSCI FRANCE ETF,3/18/96,NYSE Arca,France,813.531,N.A.
EWG US Equity,ISHARES MSCI GERMANY ETF,3/18/96,NYSE Arca,Germany,2141.185,N.A.
EWO US Equity,ISHARES MSCI AUSTRIA ETF,3/18/96,NYSE Arca,Austria,61.713,N.A.
EWP US Equity,ISHARES MSCI SPAIN ETF,3/18/96,NYSE Arca,Spain,970.337,N.A.
EWH US Equity,ISHARES MSCI HONG KONG ETF,3/18/96,NYSE Arca,Hong Kong,2187.154,N.A.
EWK US Equity,ISHARES MSCI BELGIUM ETF,3/18/96,NYSE Arca,Belgium,46.749,N.A.
EWI US Equity,ISHARES MSCI ITALY ETF,3/18/96,NYSE Arca,Italy,237.69,N.A.
EWM US Equity,ISHARES MSCI MALAYSIA ETF,3/18/96,NYSE Arca,Malaysia,429.988,N.A.
EWJ US Equity,ISHARES MSCI JAPAN ETF,3/18/96,NYSE Arca,Japan,12203.23,N.A.
EWN US Equity,ISHARES MSCI NETHERLANDS ETF,3/18/96,NYSE Arca,Netherlands,165.678,N.A.
EWW US Equity,ISHARES MSCI MEXICO ETF,3/18/96,NYSE Arca,Mexico,781.16,N.A.
EWC US Equity,ISHARES MSCI CANADA ETF,3/18/96,NYSE Arca,Canada,2584.508,N.A.
MDY US Equity,SPDR S&P MIDCAP 400 ETF TRST,5/4/95,NYSE Arca,United States,18991.439,N.A.
SPY US Equity,SPDR S&P 500 ETF TRUST,1/22/93,NYSE Arca,United States,266975,N.A.
